PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,1,1,Kevin Vazquez MD,female,3.6,0,0,18808,134.5,,S
2,0,2,Zachary Abbott,female,29.0,1,0,78855,62.03,F108,C
3,1,2,Justin Schultz,female,57.3,2,3,52614,362.32,,S
4,1,1,Willie Brown,male,60.3,2,1,17037,124.15,D115,Q
5,1,3,Erin Bell,male,14.0,1,3,47051,40.62,E76,S
6,0,2,Tammy Nolan,male,74.4,0,0,63081,349.76,,C
7,0,1,Aaron Duke,male,79.7,1,1,13720,323.47,,C
8,0,3,Matthew Smith,female,64.1,3,3,99069,14.85,,Q
9,0,2,Michelle Davidson,male,15.2,0,2,22484,208.9,F148,Q
10,1,3,Katherine Hamilton,male,33.8,2,0,72674,418.36,A50,Q
11,0,2,Nathan Castillo,female,48.2,3,2,37468,362.35,C82,S
12,0,2,Taylor Rivera,male,63.2,2,1,71230,381.81,C51,C
13,0,2,Brian Sanchez,female,74.5,3,0,58291,217.35,E48,S
14,0,3,Stacy Griffin,female,2.8,3,3,22716,301.58,G44,C
15,0,2,James Brennan,female,76.5,1,1,24877,465.35,,Q
16,0,3,Christian Garcia,male,61.9,3,2,61835,93.72,F144,C
17,1,2,James Peterson III,female,40.5,1,3,18518,333.61,B24,C
18,1,2,Danielle Herrera,male,77.0,0,0,88514,315.01,C25,C
19,0,3,Jesse Bell,female,20.4,2,2,61623,45.8,B9,C
20,1,2,Benjamin Brandt DDS,male,60.5,3,0,82580,424.25,A124,Q
21,0,3,Evan Campbell,male,64.3,2,2,92365,397.71,E18,C
22,0,3,Amy Mitchell,male,17.3,2,0,16772,377.76,,C
23,0,1,Jamie Walker,male,27.3,0,1,50128,313.77,G127,S
24,0,2,Juan Boone,male,55.3,2,1,99361,393.36,C25,C
25,0,1,James Daniel,female,12.7,1,2,53179,485.32,C28,C
26,0,1,Joshua Maynard,female,40.4,3,3,46444,131.33,,Q
27,0,2,Andrew Green,male,7.1,2,3,34749,349.79,C72,Q
28,1,2,Dennis Wong,female,7.7,1,0,53648,273.19,G79,C
29,0,1,Valerie Anderson,male,72.1,2,2,22849,444.94,G120,S
30,1,2,Michael Hernandez,female,25.7,1,2,79286,280.56,B63,C
31,0,3,Melvin Smith,male,49.6,2,0,87742,165.73,D18,S
32,0,1,Natalie Banks,male,77.6,2,1,94093,175.36,E101,S
33,1,3,Julia Jones,male,72.6,2,3,70723,293.76,E43,C
34,0,2,Steven Brown,male,46.6,0,3,90070,310.4,,Q
35,0,2,James Montgomery,female,55.3,1,2,49875,333.93,,C
36,0,2,Amy Thomas,female,3.6,2,2,16767,217.67,,Q
37,1,2,Marilyn Page,male,53.9,1,1,76706,326.43,,Q
38,1,2,George Alvarez,female,70.4,3,3,40803,34.39,,C
39,0,3,Mark Mann,male,54.8,1,3,56214,139.76,A95,C
40,1,3,Grant Smith MD,male,48.0,3,1,48742,262.8,,S
41,0,1,Maria Alvarez,female,18.5,1,3,17964,499.87,F131,C
42,1,3,Nicole Keller,female,52.2,1,0,71449,360.4,B136,C
43,0,2,Ryan Webster,female,50.7,0,1,84847,313.41,G57,C
44,1,3,Evan Cooper II,male,21.9,2,2,93523,485.4,G35,S
45,0,2,Joe Moran,male,2.7,3,2,98447,437.89,C25,S
46,1,2,Melissa Morgan,female,3.8,0,0,95825,348.28,,S
47,0,1,Bianca Graham,male,3.2,1,2,46420,387.94,,Q
48,0,2,Hannah Hayes,female,5.5,2,2,15327,10.83,B111,S
49,1,2,Jeff Hill,female,49.0,0,1,87316,70.98,,C
50,0,3,Veronica Leach,female,56.0,1,0,74431,416.69,A18,S
51,1,3,James Murphy,male,7.7,0,3,72406,448.87,A137,C
52,0,2,Olivia Perez,female,11.1,1,3,89441,44.42,A11,S
53,0,3,Kevin Bush,male,28.5,0,0,95440,188.77,E76,C
54,1,1,Jennifer Montgomery,male,51.6,0,1,52111,34.12,,S
55,0,3,Scott Boyle,female,28.1,2,0,41750,31.77,B1,C
56,1,1,Kimberly Taylor,female,49.5,0,1,60962,252.78,,C
57,1,2,Daniel Torres,male,73.8,3,1,93745,226.49,,S
58,1,1,Melissa Mendez,male,59.6,1,1,90442,191.74,,C
59,0,2,Christopher Tucker,male,77.2,3,1,75558,123.52,F131,C
60,1,1,Gloria Howe,male,1.1,1,0,36785,485.5,B73,S
61,0,2,Laura Willis,female,58.9,0,0,55178,98.21,E76,C
62,0,2,David Allen,male,54.2,3,0,51213,379.88,B95,Q
63,1,3,Matthew Mason,male,45.7,3,1,96933,330.13,D6,S
64,0,1,Lori Crane,female,17.6,3,3,76409,112.69,E76,S
65,1,2,Leslie Guerra,male,40.8,1,2,51978,425.78,,Q
66,0,2,Margaret Knight,female,14.1,0,1,47486,104.03,B63,S
67,0,2,Evan Leonard,female,51.1,0,3,18718,469.64,B95,C
68,1,1,Penny Davidson,male,20.7,1,3,93640,134.03,,Q
69,0,1,Richard Guerra,female,4.1,2,0,57961,124.93,G28,S
70,1,2,Kelsey Huber,female,17.4,0,1,94961,238.53,B39,Q
71,0,2,Lindsay Gibson,female,76.1,3,3,23236,109.82,C134,Q
72,0,1,Jerry Ferguson,male,14.7,1,3,50523,178.0,,S
73,1,3,Ashley Dean,male,19.5,1,1,83035,254.3,,Q
74,0,1,Michael Vargas,female,15.0,1,3,92220,256.81,E60,Q
75,1,1,Tammy Hill,female,51.3,3,3,28841,420.29,D115,S
76,1,3,Lauren Floyd,female,51.6,0,1,24391,271.01,A18,S
77,1,1,Amber Skinner,female,36.7,2,0,40916,482.66,A36,C
78,1,2,Bruce Kramer,male,66.0,0,0,39400,124.78,,Q
79,0,2,Jeremiah Fox,male,60.3,1,2,15744,251.35,G117,S
80,0,3,Tara Duncan,female,21.9,1,2,87041,320.99,F39,C
81,0,3,Jeffrey Smith,male,14.4,0,0,94112,214.58,,C
82,0,1,Todd Rios,male,76.3,1,1,97377,55.27,,S
83,1,2,Joshua Mclaughlin,female,17.5,2,3,72918,83.36,,Q
84,0,1,Joseph Ortiz,female,72.2,2,3,39298,83.07,E90,S
85,0,3,Theresa Wood,female,46.9,2,0,71079,33.94,G127,C
86,1,2,Karen Trujillo,male,17.7,3,2,42949,81.07,E131,Q
87,1,1,Molly Goodman,male,9.6,3,2,90616,225.76,,S
88,1,2,John Kline,female,40.0,2,3,67801,363.06,,S
89,1,1,Robert Baker,male,41.4,0,1,19362,65.57,D98,C
90,0,3,Mary Lopez,female,22.7,2,2,32733,485.5,B63,Q
91,1,2,Erika Reid,female,28.9,0,1,65571,158.46,A137,C
92,1,2,James Bailey,female,25.0,1,0,92745,186.48,,Q
93,1,1,Brendan White,female,21.2,0,0,68055,94.45,B35,Q
